domain,phylum,class,order,family,genus,species,L,R,S,kit_id
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,RB40,Unknown genus4,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus112,Unknown species12,0,0,0.001329,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus128,Unknown species8,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus136,Unknown species4,0,0,0.000743,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus139,Unknown species2,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus217,Unknown species4,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus348,Unknown species4,0,0,0.000391,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus459,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus473,Unknown species1,0,0,0.006343,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus534,Unknown species8,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus581,Unknown species6,0,0,0.001935,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus600,Unknown species3,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus600,Unknown species8,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus613,Unknown species2,0,0,0.0004,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus624,Unknown species9,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus632,Unknown species6,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus650,Unknown species2,0,0,0.00109,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus671,Unknown species4,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus681,Unknown species1,0,0,0.001278,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus720,Unknown species5,0,0,0.000294,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus744,Unknown species6,0,0,0.000384,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus75,Unknown species1,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,Unknown family,Unknown genus772,Unknown species2,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus17,Unknown species5,0,0,0.000248,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus73,Unknown species12,0,0,0,28
Bacteria,Acidobacteria,Acidobacteria-6,iii1-15,mb2424,Unknown genus73,Unknown species8,0,0.00172,0.002354,28
